cod_mun|DAS_pagos|qtd_optantes|adimplencia|inadimplencia|uf|qtd_populacao_estimada|nm_municipio|vlr_adic_bruto_agropecuaria|vlr_adic_bruto_industria|vlr_adic_bruto_servicos|vlr_adic_bruto_administracao|vlr_adic_bruto_total|impostos_liquidos_sobre_produtos|pib|pib_per_capita|atividade_maior_vlr_adic_bruto|atividade_2maior_vlr_adic_bruto|atividade_3maior_vlr_adic_bruto
1100015|612|858|0.71|0.29|RO|22728|Alta Floresta D'Oeste|165892|26369|123512|155271|471045|28261|499306|21552.47|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100023|2420|4512|0.54|0.46|RO|109523|Ariquemes|163121|339667|1034184|674541|2211513|252260|2463773|23206.36|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100031|87|209|0.42|0.58|RO|5188|Cabixi|62337|5179|25171|42164|134851|5651|140502|25837.12|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita
1100049|2412|3997|0.60|0.40|RO|85893|Cacoal|212493|222558|971609|548595|1955256|225198|2180454|25708.96|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100056|496|757|0.66|0.34|RO|16204|Cerejeiras|61973|22818|208728|109796|403315|68863|472179|28714.35|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100064|611|883|0.69|0.31|RO|15544|Colorado do Oeste|73479|26195|103454|105915|309043|21385|330428|20362.88|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100072|175|209|0.84|0.16|RO|7220|Corumbiara|212545|9971|30596|57122|310234|10394|320628|42371.91|Produção florestal, pesca e aquicultura|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social
1100080|178|423|0.42|0.58|RO|18798|Costa Marques|63525|7218|42875|108861|222479|7684|230164|12890.70|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100098|880|1073|0.82|0.18|RO|32695|Espigão D'Oeste|120026|61347|183339|194761|559473|48925|608398|18984.55|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100106|508|1366|0.37|0.63|RO|46556|Guajará-Mirim|46931|29036|361929|284832|722728|114154|836882|18279.32|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Comércio e reparação de veículos automotores e motocicletas
1100114|1297|2028|0.64|0.36|RO|51620|Jaru|174427|226575|588767|326104|1315874|160753|1476627|28433.31|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100122|3651|6536|0.56|0.44|RO|130009|Ji-Paraná|141765|403202|1601590|770438|2916995|445341|3362336|26287.35|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100130|610|1061|0.57|0.43|RO|40867|Machadinho D'Oeste|190494|46881|130599|242591|610566|31537|642103|16423.33|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100148|244|337|0.72|0.28|RO|20489|Nova Brasilândia D'Oeste|103925|37158|82157|126649|349890|20134|370024|18086.15|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100155|1039|1896|0.55|0.45|RO|35737|Ouro Preto do Oeste|143562|81960|285328|237414|748264|60402|808667|22252.80|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100189|940|1661|0.57|0.43|RO|36881|Pimenta Bueno|109643|179849|417242|245726|952460|178698|1131158|31046.76|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100205|7355|21388|0.34|0.66|RO|539354|Porto Velho|586045|3858082|6664115|3418710|14526952|2120205|16647158|32042.66|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação
1100254|429|757|0.57|0.43|RO|18571|Presidente Médici|102278|36862|117093|125209|381442|36159|417601|21515.83|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100262|36|81|0.44|0.56|RO|3804|Rio Crespo|54708|7331|11090|29997|103125|3396|106521|28611.66|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita
1100288|1713|2694|0.64|0.36|RO|55407|Rolim de Moura|97068|251482|502744|351411|1202705|114387|1317091|24077.57|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Indústrias de transformação
1100296|150|214|0.70|0.30|RO|6216|Santa Luzia D'Oeste|51398|13604|26830|49509|141341|5304|146645|21625.89|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100304|2547|4683|0.54|0.46|RO|102211|Vilhena|143682|448423|1171537|646476|2410118|359365|2769483|28420.11|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1100320|392|707|0.55|0.45|RO|23077|São Miguel do Guaporé|242199|128163|153484|150685|674531|36919|711451|31025.71|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1100338|326|650|0.50|0.50|RO|31392|Nova Mamoré|184590|25151|93541|185847|489128|19574|508702|17095.19|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100346|331|431|0.77|0.23|RO|14106|Alvorada D'Oeste|78818|11705|57543|98438|246504|10004|256509|17423.49|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100379|177|242|0.73|0.27|RO|13255|Alto Alegre dos Parecis|124975|11712|41556|89320|267562|10918|278480|21053.93|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Pecuária, inclusive apoio à pecuária
1100403|315|405|0.78|0.22|RO|21847|Alto Paraíso|87597|23590|74888|125940|312016|16736|328751|15655.57|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100452|588|1003|0.59|0.41|RO|40356|Buritis|176695|37720|182638|237501|634553|46423|680976|17489.18|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1100502|121|172|0.70|0.30|RO|8329|Novo Horizonte do Oeste|58294|9704|32951|57626|158574|7224|165798|18946.14|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100601|23|105|0.22|0.78|RO|6269|Cacaulândia|71272|3359|19522|42435|136588|4042|140630|22718.85|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1100700|135|258|0.52|0.48|RO|14266|Campo Novo de Rondônia|129427|22536|26395|94347|272705|7637|280341|20011.50|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1100809|317|783|0.40|0.60|RO|27388|Candeias do Jamari|85026|186970|103914|169522|545432|22466|567898|21856.51|Administração, defesa, educação e saúde públicas e seguridade social|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação|Demais serviços
1100908|26|54|0.48|0.52|RO|2987|Castanheiras|74886|1787|7508|26091|110272|2755|113027|36238.14|Produção florestal, pesca e aquicultura|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social
1100924|195|355|0.55|0.45|RO|11472|Chupinguaia|105106|51048|52350|78493|286997|14334|301332|27680.65|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1100940|404|721|0.56|0.44|RO|26183|Cujubim|85034|59077|55819|142523|342453|14624|357077|14739.40|Administração, defesa, educação e saúde públicas e seguridade social|Indústrias de transformação|Pecuária, inclusive apoio à pecuária
1101005|81|137|0.59|0.41|RO|7445|Governador Jorge Teixeira|95115|4781|16793|57162|173851|4930|178780|22085.29|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101104|98|263|0.37|0.63|RO|10641|Itapuã do Oeste|43804|25904|35929|66797|172434|7852|180286|17551.21|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1101203|179|183|0.98|0.02|RO|9559|Ministro Andreazza|72737|12158|45027|63721|193644|12589|206233|21126.07|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita
1101302|166|247|0.67|0.33|RO|10818|Mirante da Serra|66365|13164|57705|70713|207947|10020|217967|19672.11|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1101401|181|340|0.53|0.47|RO|16007|Monte Negro|90940|22836|56656|100188|270620|12382|283003|18031.40|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101435|107|143|0.75|0.25|RO|6895|Nova União|53916|3418|13525|46224|117084|3970|121054|17178.06|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101450|47|76|0.62|0.38|RO|6198|Parecis|48291|3259|11117|40764|103431|3159|106590|17923.34|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101468|33|82|0.40|0.60|RO|2148|Pimenteiras do Oeste|63957|3303|11525|22655|101439|3140|104579|47731.23|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social
1101476|41|99|0.41|0.59|RO|2776|Primavera de Rondônia|23035|2097|8521|24892|58545|1995|60540|20598.80|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101484|93|90|1.03|-0.03|RO|5066|São Felipe D'Oeste|32792|2305|13417|37848|86362|3195|89556|16961.44|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101492|309|433|0.71|0.29|RO|20681|São Francisco do Guaporé|128697|16476|68051|122234|335459|17302|352762|17778.54|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101500|161|268|0.60|0.40|RO|11851|Seringueiras|83888|11176|47321|78583|220969|14012|234981|19812.88|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101559|61|135|0.45|0.55|RO|4233|Teixeirópolis|39114|4002|11644|31329|86088|3215|89304|20370.33|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101609|98|182|0.54|0.46|RO|10395|Theobroma|92623|5227|17802|70703|186356|5609|191965|18292.84|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1101708|162|289|0.56|0.44|RO|11272|Urupá|80054|8872|42677|77142|208745|8432|217176|18617.76|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101757|126|181|0.70|0.30|RO|11377|Vale do Anari|55622|6265|20487|72443|154817|5146|159963|14505.19|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1101807|135|165|0.82|0.18|RO|6656|Vale do Paraíso|75533|3511|17775|48195|145015|5127|150141|21454.91|Pecuária, inclusive apoio à pecuária|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1200013|148|321|0.46|0.54|AC|15490|Acrelândia|68300|8032|52375|95494|224202|12178|236379|15737.64|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1200054|61|183|0.33|0.67|AC|7534|Assis Brasil|19444|2747|16089|50224|88503|2983|91486|12532.31|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1200104|309|815|0.38|0.62|AC|26702|Brasiléia|68628|30756|119160|164383|382927|34912|417839|16165.25|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1200138|54|128|0.42|0.58|AC|10420|Bujari|64186|3464|21059|66366|155075|2722|157797|15606.47|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1200179|76|181|0.42|0.58|AC|12008|Capixaba|60821|4004|24939|74169|163933|6470|170403|14874.52|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Agricultura, inclusive apoio à agricultura e a pós colheita
1200203|1402|2639|0.53|0.47|AC|89072|Cruzeiro do Sul|62717|97059|561416|553380|1274572|151112|1425685|16261.39|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Comércio e reparação de veículos automotores e motocicletas
1200252|160|425|0.38|0.62|AC|18696|Epitaciolândia|41244|16861|206328|109539|373971|85417|459388|25349.75|Comércio e reparação de veículos automotores e motocicletas|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1200302|310|593|0.52|0.48|AC|34884|Feijó|57788|11574|70843|209518|349722|14390|364112|10500.72|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1200328|26|73|0.36|0.64|AC|8473|Jordão|8740|1511|9032|56251|75534|1395|76929|9428.70|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1200336|126|191|0.66|0.34|AC|19311|Mâncio Lima|34246|6637|31164|121594|193640|4471|198112|10629.45|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1200344|75|152|0.49|0.51|AC|9581|Manoel Urbano|19555|13000|23468|62607|118630|6379|125008|13389.93|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Indústrias de transformação
1200351|62|136|0.46|0.54|AC|19299|Marechal Thaumaturgo|34127|4259|23006|128062|189453|3377|192830|10462.83|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1200385|124|323|0.38|0.62|AC|19955|Plácido de Castro|62504|13589|44845|121874|242811|10095|252906|12926.47|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1200393|131|206|0.64|0.36|AC|12241|Porto Walter|13621|2452|15114|78212|109398|2758|112156|9569.61|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1200401|5679|9860|0.58|0.42|AC|413418|Rio Branco|149905|802171|4220400|2490351|7662827|1277997|8940823|22287.70|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Comércio e reparação de veículos automotores e motocicletas
1200427|89|150|0.59|0.41|AC|19351|Rodrigues Alves|35576|4098|20802|121414|181890|2655|184545|9973.26|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1200435|68|34|2.00|-1.00|AC|6717|Santa Rosa do Purus|12817|1512|9275|46243|69846|1621|71467|11233.49|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1200450|110|496|0.22|0.78|AC|23236|Senador Guiomard|90656|23043|86974|145538|346210|26975|373185|16360.61|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1200500|257|633|0.41|0.59|AC|46511|Sena Madureira|96071|21131|113550|266808|497561|20855|518416|11475.22|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1200609|104|418|0.25|0.75|AC|43151|Tarauacá|75132|14940|109096|265446|464614|24212|488825|11645.35|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1200708|81|268|0.30|0.70|AC|19596|Xapuri|64690|4085|45657|115589|230021|9092|239114|12553.21|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1200807|95|225|0.42|0.58|AC|18824|Porto Acre|70829|6070|35665|114151|226715|7000|233716|12855.64|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1300029|20|81|0.25|0.75|AM|16220|Alvarães|53419|6809|27302|79618|167148|2668|169816|10707.18|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1300060|46|226|0.20|0.80|AM|11736|Amaturá|12892|3306|14318|51287|81802|1288|83091|7332.40|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1300086|21|62|0.34|0.66|AM|13956|Anamã|35318|4783|18763|55556|114419|1922|116341|8767.90|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1300102|42|80|0.53|0.47|AM|21477|Anori|93163|6479|29587|84628|213857|4396|218253|10626.79|Administração, defesa, educação e saúde públicas e seguridade social|Produção florestal, pesca e aquicultura|Demais serviços
1300144|218|390|0.56|0.44|AM|22359|Apuí|61282|12163|45064|87185|205694|4318|210012|9730.42|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária|Demais serviços
1300201|29|109|0.27|0.73|AM|20398|Atalaia do Norte|21493|3828|20909|93569|139799|2681|142481|7330.00|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1300300|42|517|0.08|0.92|AM|40290|Autazes|83214|17580|70991|173397|345182|11916|357098|9196.44|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1300409|55|431|0.13|0.87|AM|27638|Barcelos|11396|7987|33508|111369|164259|3919|168178|6145.96|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1300508|66|283|0.23|0.77|AM|32483|Barreirinha|45192|9695|45963|151412|252262|6561|258823|8192.42|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1300607|312|572|0.55|0.45|AM|43935|Benjamin Constant|33437|17060|64150|183804|298451|10230|308682|7346.07|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1300631|54|185|0.29|0.71|AM|20093|Beruri|18303|6551|28745|94729|148329|3206|151535|7868.69|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1300680|78|200|0.39|0.61|AM|19626|Boa Vista do Ramos|16228|5656|26982|87722|136587|3116|139703|7438.55|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1300706|443|804|0.55|0.45|AM|34635|Boca do Acre|89755|54587|103129|146266|393737|22411|416148|12248.29|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Pecuária, inclusive apoio à pecuária
1300805|53|470|0.11|0.89|AM|41748|Borba|36506|12083|63705|181983|294277|9437|303714|7487.09|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1300839|44|102|0.43|0.57|AM|13283|Caapiranga|62720|5698|22912|62545|153875|2438|156312|12138.88|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1300904|5|52|0.10|0.90|AM|15807|Canutama|14099|3870|20099|66229|104297|3316|107613|6965.24|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1301001|136|302|0.45|0.55|AM|28508|Carauari|83422|19557|73777|117321|294077|12263|306340|10911.10|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1301100|157|513|0.31|0.69|AM|38348|Careiro|60845|25353|62189|154220|302608|11977|314585|8414.97|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1301159|115|365|0.32|0.68|AM|30846|Careiro da Várzea|178803|9350|29117|116318|333587|3678|337266|11396.04|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1301209|232|787|0.29|0.71|AM|85910|Coari|140484|955793|441067|401469|1938814|77102|2015916|23921.53|Indústrias extrativas|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
1301308|149|264|0.56|0.44|AM|29168|Codajás|325036|14533|41548|113902|495019|5676|500695|17818.34|Produção florestal, pesca e aquicultura|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita
1301407|81|182|0.45|0.55|AM|35700|Eirunepé|268620|16884|68845|154819|509167|8377|517544|14854.89|Produção florestal, pesca e aquicultura|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1301506|123|171|0.72|0.28|AM|20393|Envira|38639|6023|26998|83645|155306|2191|157496|8007.74|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1301605|89|177|0.50|0.50|AM|17005|Fonte Boa|25020|8908|40370|100063|174360|6561|180920|9929.22|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1301654|25|82|0.30|0.70|AM|16937|Guajará|19216|4644|23267|72771|119899|3693|123592|7528.77|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1301704|789|1762|0.45|0.55|AM|56144|Humaitá|140117|40583|192778|210634|584112|38037|622149|11521.07|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1301803|75|75|1.00|0.00|AM|30436|Ipixuna|12159|4575|22587|110494|149816|2470|152286|5263.41|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1301852|228|939|0.24|0.76|AM|49011|Iranduba|178626|86802|159119|224591|649139|30001|679140|14276.35|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1301902|446|1426|0.31|0.69|AM|102701|Itacoatiara|463450|119702|752383|437562|1773098|107905|1881004|18818.50|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita
1301951|46|75|0.61|0.39|AM|7814|Itamarati|26638|4047|17709|43924|92316|2848|95164|12064.45|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1302009|62|167|0.37|0.63|AM|9230|Itapiranga|34516|4482|21894|45456|106348|3569|109917|12126.80|Administração, defesa, educação e saúde públicas e seguridade social|Produção florestal, pesca e aquicultura|Demais serviços
1302108|29|35|0.83|0.17|AM|2251|Japurá|16211|2630|11516|31124|61481|1352|62832|19244.20|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1302207|50|108|0.46|0.54|AM|15106|Juruá|19758|4523|16507|60670|101458|2386|103844|7255.76|Administração, defesa, educação e saúde públicas e seguridade social|Produção florestal, pesca e aquicultura|Demais serviços
1302306|64|117|0.55|0.45|AM|13886|Jutaí|79095|9673|43307|86871|218945|5272|224218|15198.12|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1302405|120|321|0.37|0.63|AM|46882|Lábrea|194152|17823|90890|174746|477611|17457|495068|10941.94|Administração, defesa, educação e saúde públicas e seguridade social|Produção florestal, pesca e aquicultura|Demais serviços
1302504|348|1120|0.31|0.69|AM|98502|Manacapuru|577015|113871|303777|388872|1383535|44595|1428130|14839.87|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1302553|168|570|0.29|0.71|AM|33049|Manaquiri|101612|9498|35577|122579|269266|5887|275153|8834.03|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Produção florestal, pesca e aquicultura
1302603|26020|77502|0.34|0.66|AM|2219580|Manaus|209000|26426370|27665796|8928806|63229972|14962349|78192321|36445.75|Indústrias de transformação|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
1302702|341|1096|0.31|0.69|AM|56583|Manicoré|143253|36119|111303|219386|510062|18893|528955|9633.66|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1302801|5|121|0.04|0.96|AM|18261|Maraã|16982|4040|16926|88223|126170|2273|128444|7062.77|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1302900|207|1138|0.18|0.82|AM|65040|Maués|54976|25869|123038|272547|476429|24869|501299|7988.19|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1303007|38|212|0.18|0.82|AM|21443|Nhamundá|20278|6729|33083|86598|146687|4842|151529|7250.55|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1303106|183|713|0.26|0.74|AM|38026|Nova Olinda do Norte|27505|10807|46154|154572|239038|7673|246712|6718.55|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1303205|131|569|0.23|0.77|AM|19928|Novo Airão|10874|7115|33384|80136|131509|4511|136020|7168.78|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1303304|85|288|0.30|0.70|AM|26046|Novo Aripuanã|45834|13543|33821|100768|193965|5412|199378|7900.21|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1303403|605|2246|0.27|0.73|AM|115363|Parintins|264721|62545|287965|457237|1072470|46871|1119341|9890.96|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita
1303502|110|270|0.41|0.59|AM|19522|Pauini|34569|5270|26627|87302|153768|3169|156937|8119.23|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1303536|372|1303|0.29|0.71|AM|37193|Presidente Figueiredo|102093|324038|151527|219754|797413|25016|822429|23264.00|Indústrias extrativas|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
1303569|151|600|0.25|0.75|AM|34106|Rio Preto da Eva|132666|37562|69970|126410|366609|16816|383425|11769.80|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços
1303601|21|200|0.10|0.90|AM|25865|Santa Isabel do Rio Negro|15483|3828|19572|95859|134742|2806|137548|5628.91|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
1303700|112|283|0.40|0.60|AM|21243|Santo Antônio do Içá|36470|5994|29787|103768|176018|5250|181268|8252.20|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
