cod_mun|DAS_pagos|qtd_optantes|adimplencia|inadimplencia|uf|qtd_populacao_estimada|nm_municipio|vlr_adic_bruto_agropecuaria|vlr_adic_bruto_industria|vlr_adic_bruto_servicos|vlr_adic_bruto_administracao|vlr_adic_bruto_total|impostos_liquidos_sobre_produtos|pib|pib_per_capita|atividade_maior_vlr_adic_bruto|atividade_2maior_vlr_adic_bruto|atividade_3maior_vlr_adic_bruto
4119301|689|1275|0.54|0.46|PR|32559|Pinhão|176480|981697|217622|151534|1527334|40140|1567474|48650.61|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4119400|733|1201|0.61|0.39|PR|25617|Piraí do Sul|194935|210972|210763|119278|735947|62595|798543|31574.18|Demais serviços|Indústrias de transformação|Agricultura, inclusive apoio à agricultura e a pós colheita
4119509|3415|8011|0.43|0.57|PR|114970|Piraquara|28453|142272|543069|460596|1174390|122813|1297203|11681.04|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Comércio e reparação de veículos automotores e motocicletas
4119608|1095|1792|0.61|0.39|PR|29994|Pitanga|212319|82831|392959|134862|822971|70456|893427|29163.59|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social
4119657|74|144|0.51|0.49|PR|3262|Pitangueiras|47829|3234|22208|19301|92572|4362|96933|30434.34|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4119707|83|160|0.52|0.48|PR|4272|Planaltina do Paraná|25070|15325|29686|21046|91127|6969|98096|23059.69|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária
4119806|379|550|0.69|0.31|PR|13431|Planalto|84918|38389|113853|61569|298729|27457|326186|24111.90|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Agricultura, inclusive apoio à agricultura e a pós colheita
4119905|11628|21378|0.54|0.46|PR|355336|Ponta Grossa|300582|4629003|6585714|1502250|13017550|2036473|15054022|43253.34|Demais serviços|Indústrias de transformação|Comércio e reparação de veículos automotores e motocicletas
4119954|1642|3108|0.53|0.47|PR|27915|Pontal do Paraná|3224|1518421|620387|139900|2281933|143133|2425065|91044.66|Indústrias de transformação|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4120002|563|775|0.73|0.27|PR|12748|Porecatu|36049|307239|137895|60577|541760|16132|557892|42639.27|Eletricidade e gás, água, esgoto, atividades de gestão de resíduos e descontaminação|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4120101|183|311|0.59|0.41|PR|4874|Porto Amazonas|37838|21493|30096|23787|113214|7156|120370|24967.88|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4120150|38|61|0.62|0.38|PR|3184|Porto Barreiro|48260|3382|22663|19197|93502|5231|98733|29991.75|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços
4120200|90|168|0.54|0.46|PR|2556|Porto Rico|13468|4282|29756|19018|66525|3368|69893|27291.22|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social|Pecuária, inclusive apoio à pecuária
4120309|126|155|0.81|0.19|PR|4061|Porto Vitória|23529|3274|12999|21789|61591|2560|64151|15769.67|Administração, defesa, educação e saúde públicas e seguridade social|Demais serviços|Produção florestal, pesca e aquicultura
4120333|101|187|0.54|0.46|PR|3780|Prado Ferreira|34493|26837|36596|21245|119171|11849|131020|35163.72|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Indústrias de transformação
4120358|128|207|0.62|0.38|PR|5095|Pranchita|55912|18477|75849|25976|176213|16223|192437|36858.19|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Comércio e reparação de veículos automotores e motocicletas
4120408|120|260|0.46|0.54|PR|5351|Presidente Castelo Branco|55051|6935|41812|25281|129079|8343|137422|26125.94|Agricultura, inclusive apoio à agricultura e a pós colheita|Demais serviços|Administração, defesa, educação e saúde públicas e seguridade social
4120507|297|392|0.76|0.24|PR|11130|Primeiro de Maio|92078|17541|117278|53188|280086|19889|299974|26990.66|Demais serviços|Agricultura, inclusive apoio à agricultura e a pós colheita|Administração, defesa, educação e saúde públicas e seguridade social
